id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2605.05306v1,Measurement-induced phase transitions in disordered fermions,"['Yunxiang Liao', 'Max Matheussen', 'Xinghai Zhang']","Measurement-induced phase transitions are nonequilibrium transitions between phases characterized by distinct entanglement scaling behaviors, driven by the competition between unitary dynamics and measurements. Despite recent numerical efforts, how quenched disorder affects these transitions remains unclear. In this work, we study a $d$-dimensional noninteracting fermionic system subject to both quenched disorder and continuous monitoring of the local particle density, and derive an effective field theory describing its long-time universal behaviors. We find that the system is governed by the same nonlinear sigma model as in the case of clean monitored fermions, with disorder entering only through a modification of model parameters. This result suggests that the presence or absence of a measurement-induced phase transition is unaffected by the introduction of disorder: in spatial dimensions d>1, a transition occurs between an area x log law phase and an area law phase, whereas in d=1, the system exhibits only an area law phase and no transition. Numerical results further demonstrate that both clean and disordered one-dimensional free fermions exhibit area-law behavior when the system size is large enough.","['cond-mat.stat-mech', 'cond-mat.dis-nn', 'quant-ph']",2026-05-06T18:00:03+00:00,https://arxiv.org/pdf/2605.05306v1,arxiv://2605.05306v1,1,15
2604.04424v2,D-instanton Effects on the Holographic Weyl Semimetals,"['Hwajin Eom', 'Yunseok Seo']","We investigate the effects of D-instantons on a holographic Weyl semimetal in a top-down approach. We find that the presence of D-instantons induces a novel phase transition from a Weyl semimetal to a gapped phase, providing a new mechanism for gap formation in strongly coupled systems. By analyzing the free energy of probe D7-brane embeddings, we construct the phase diagram in terms of the fermion mass, instanton density, and temperature, measured in units of the Weyl parameter. We show that, in addition to the conventional mass-driven transition associated with band inversion, the instanton density gives rise to a qualitatively different transition whose mechanism cannot be understood within the standard Dirac picture. We compute nonlinear electric conductivities from the regularity condition at the black hole horizon and demonstrate that the two types of transitions exhibit distinct transport behavior. In particular, the instanton-induced transition leads to a gapped phase with properties that differ from the conventional insulating phase. We also discuss possible interpretations of this phase in the boundary theory and comment on its relation to nonperturbative effects in strongly interacting systems.","['hep-th', 'cond-mat.str-el']",2026-04-06T05:08:17+00:00,https://arxiv.org/pdf/2604.04424v2,arxiv://2604.04424v2,2,15
2512.01772v2,Quantum dynamics of monitored free fermions: Evolution of quantum correlations and scaling at measurement-induced phase transition,"['Igor Poboiko', 'Alexander D. Mirlin']","We explore, both analytically and numerically, the quantum dynamics of a many-body free-fermion system subjected to local density measurements. We begin by extending the mapping to the nonlinear sigma-model (NLSM) field theory for the case of finite evolution time $T$ and different classes of initial states, which lead to different NLSM boundary conditions. The analytical formalism is then used to study how quantum correlations gradually develop, with increasing $T$, from those determined by the initial state towards their steady-state form. The analytical results are confirmed by numerical simulations for several types of initial states. We further consider the long-time limit, when the system in $d+1$ space-time dimensions becomes quasi-one-dimensional, and analyze the scaling of the ``localization'' time (which is simultaneously the purification time and the charge-sharpening time for this class of problems). The analytical predictions for scaling properties are fully confirmed by numerical simulations in a $d=2$ model around the measurement-induced phase transition. We use this dynamical approach to determine numerically the measurement-induced transition point and the associated correlation-length critical exponent.","['cond-mat.dis-nn', 'cond-mat.mes-hall']",2025-12-01T15:13:42+00:00,https://arxiv.org/pdf/2512.01772v2,arxiv://2512.01772v2,3,15
2510.23706v1,Free-Fermion Measurement-Induced Volume- to Area-Law Entanglement Transition in the Presence of Fermion Interactions,"['Matthew S. Foster', 'Haoyu Guo', 'Chao-Ming Jian', 'Andreas W. W. Ludwig']","At a generic volume- to area-law entanglement transition in a many-body system, quantum chaos is arrested. We argue that this tends to imply the vanishing of a certain ""mass"" term in the field theory of the measurement-induced phase transition (MIPT) for monitored, interacting fermions. To explore this idea, we consider the MIPT with no conserved quantities that describes 1D monitored, interacting Majorana fermions in class DIII. We conjecture that the MIPT is the noninteracting DIII one in this case; the volume-law phase arises through the dangerously irrelevant mass. We propose numerical tests of our conjecture and analytically identify a candidate noninteracting critical point.","['cond-mat.stat-mech', 'cond-mat.dis-nn', 'cond-mat.str-el', 'quant-ph']",2025-10-27T18:00:02+00:00,https://arxiv.org/pdf/2510.23706v1,arxiv://2510.23706v1,4,15
2510.19459v2,Absence of measurement- and unraveling-induced entanglement transitions in continuously monitored one-dimensional free fermions,"['Clemens Niederegger', 'Tatiana Vovk', 'Elias Starchl', 'Lukas M. Sieberer']","Continuous monitoring of one-dimensional free fermionic systems can generate phenomena reminiscent of quantum criticality, such as logarithmic entanglement growth, algebraic correlations, and emergent conformal invariance, but in a nonequilibrium setting. However, whether these signatures reflect a genuine phase of nonequilibrium quantum matter or persist only over finite length scales is an active area of research. We address this question in a free fermionic chain subject to continuous monitoring of lattice-site occupations. An unraveling phase $\varphi$ interpolates between measurement schemes, corresponding to different stochastic unravelings of the same Lindblad master equation: For $\varphi = 0$, measurements disentangle lattice sites, while for $\varphi = π/2$ they act as unitary random noise, yielding volume-law steady-state entanglement. Using replica Keldysh field theory, we obtain a nonlinear sigma model describing the long-wavelength physics. This analysis shows that for $0 \leq \varphi < π/2$, entanglement ultimately obeys an area law, but only beyond the exponentially large scale $\ln(l_{\varphi,*}) \sim J/[γ\cos(\varphi)]$, where $J$ is the hopping amplitude and $γ$ the measurement rate. Resolving $l_{\varphi, *}$ in numerical simulations is difficult for $γ/J \to 0$ or $\varphi \to π/2$. However, the theory also predicts that critical-like behavior appears below a crossover scale that grows only algebraically in $J/γ$, making it numerically accessible. Our simulations confirm these predictions, establishing the absence of measurement- or unraveling-induced entanglement transitions in this model.","['quant-ph', 'cond-mat.stat-mech']",2025-10-22T10:46:07+00:00,https://arxiv.org/pdf/2510.19459v2,arxiv://2510.19459v2,5,15
2509.08584v1,Spectral Transitions of the Entanglement Hamiltonian in Monitored Free Fermions,"['Karim Chahine', 'Michael Buchhold']","We numerically investigate measurement-induced phase transitions in monitored free fermions through the spectral and eigenstate properties of the entanglement Hamiltonian. By analyzing entanglement scaling, we identify three non-trivial fixed points, for which the entanglement follows exact analytical scaling forms: chaotic unitary dynamics at infinitesimal monitoring, characterized by a Gaussian Page law; a Fermi-liquid fixed point at moderate monitoring, defining a metallic phase with logarithmic entanglement growth and emergent space-time invariance; and a quantum Lifshitz fixed point marking the measurement-induced phase transition into a localized area-law phase. Adopting a random-matrix perspective on the entanglement Hamiltonian, we show that short-range spectral correlations, such as the adjacent gap ratio $\langle \tilde r\rangle$ and the Kullback-Leibler divergence $KL_1$, sharply detect an ergodic to non-ergodic phase transition at the quantum Lifshitz fixed point, and yield precise estimates of the critical point and correlation length exponent. Long-range probes, including the spectral form factor and the associated Thouless time, corroborate this picture, while the variant $KL_2$ uncovers signatures of a possible non-ergodic extended (multifractal) regime at intermediate monitoring strengths. Together, these results establish the entanglement Hamiltonian as a powerful framework for diagnosing metallic, localized, and multifractal regimes in monitored quantum dynamics, and highlight unexpected scaling structures, Fermi-liquid and Lifshitz criticality, that lie beyond current field-theoretic approaches.","['quant-ph', 'cond-mat.dis-nn']",2025-09-10T13:32:24+00:00,https://arxiv.org/pdf/2509.08584v1,arxiv://2509.08584v1,6,15
2507.12526v1,Emergence of Generic Entanglement Structure in Doped Matchgate Circuits,"['Alessio Paviglianiti', 'Luca Lumia', 'Emanuele Tirrito', 'Alessandro Silva', 'Mario Collura', 'Xhek Turkeshi', 'Guglielmo Lami']","Free fermionic Gaussian, a.k.a. matchgate, random circuits exhibit atypical behavior compared to generic interacting systems. They produce anomalously slow entanglement growth, characterized by diffusive scaling $S(t) \sim \sqrt{t}$, and evolve into volume-law entangled states at late times, $S \sim N$, which are highly unstable to measurements. Here, we investigate how doping such circuits with non-Gaussian resources (gates) restores entanglement structures of typical dynamics. We demonstrate that ballistic entanglement growth $S(t) \sim t$ is recovered after injecting an extensive total amount of non-Gaussian gates, also restoring Kardar-Parisi-Zhang fluctuations. When the evolution is perturbed with measurements, we uncover a measurement-induced phase transition between an area-law and a power-law entangled phase, $S \sim N^α$, with $α$ controlled by the doping. A genuine volume-law entangled phase is recovered only when non-Gaussian gates are injected at an extensive rate. Our findings bridge the dynamics of free and interacting fermionic systems, identifying non-Gaussianity as a key resource driving the emergence of non-integrable behavior.","['quant-ph', 'cond-mat.stat-mech', 'cond-mat.str-el']",2025-07-16T18:00:02+00:00,https://arxiv.org/pdf/2507.12526v1,arxiv://2507.12526v1,7,15
2507.11312v1,Mesoscopic Fluctuations and Multifractality at and across Measurement-Induced Phase Transition,"['Igor Poboiko', 'Igor V. Gornyi', 'Alexander D. Mirlin']","We explore statistical fluctuations over the ensemble of quantum trajectories in a model of two-dimensional free fermions subject to projective monitoring of local charge across the measurement-induced phase transition. Our observables are the particle-number covariance between spatially separated regions, $G_{AB}$, and the two-point density correlation function, $\mathcal{C}(r)$. Our results exhibit a remarkable analogy to Anderson localization, with $G_{AB}$ corresponding to two-terminal conductance and $\mathcal{C}(r)$ to two-point conductance, albeit with different replica limit and unconventional symmetry class, geometry, and boundary conditions. In the delocalized phase, $G_{AB}$ exhibits ``universal'', nearly Gaussian, fluctuations with variance of order unity. In the localized phase, we find a broad distribution of $G_{AB}$ with $\overline{-\ln G_{AB}} \sim L $ (where $L$ is the system size) and the variance $\mathrm{var}(\ln G_{AB}) \sim L^μ$, and similarly for $\mathcal{C}(r)$, with $μ\approx 0.5$. At the transition point, the distribution function of $G_{AB}$ becomes scale-invariant and $\mathcal{C}(r)$ exhibits multifractal statistics, $\overline{\mathcal{C}^{q}(r)}\sim r^{-q(d+1) - Δ_{q}}$. We characterize the spectrum of multifractal dimensions $Δ_q$. Our findings lay the groundwork for mesoscopic theory of monitored systems, paving the way for various extensions.","['quant-ph', 'cond-mat.dis-nn', 'cond-mat.mes-hall']",2025-07-15T13:44:14+00:00,https://arxiv.org/pdf/2507.11312v1,arxiv://2507.11312v1,8,15
2503.23807v2,Measurement-induced phase transitions for free fermions in a quasiperiodic potential,"['Toranosuke Matsubara', 'Kazuki Yamamoto', 'Akihisa Koga']","We study the dynamics under continuous measurements for free fermions in a quasiperiodic potential by using the Aubry-André-Harper model with hopping rate $J$ and potential strength $V$. On the basis of the quantum trajectory method, we obtain the phase diagram for the steady-state entanglement entropy and demonstrate that robust logarithmic system-size scaling emerges up to a critical potential strength $V_c/J \sim 2.3$. Moreover, we find that the measurement induces entanglement phase transitions from the logarithmic-law phase to the area-law phase for the potential strength $V< V_c$, while any finite measurement stabilizes the area-law phase for $V>V_c$. This result is distinct from the entanglement scaling in the unitary limit, where volume-law and area-law phases undergo a transition at $V/J=2$. To further support the phase diagram, we analyze the connected correlation function and find that it shows algebraic decay in the logarithmic-law phase, while it decays quickly in the area-law phase. Our results can be tested in ultracold atoms by introducing quasiperiodic potentials and continuously monitoring the local occupation number with an off-resonant probe light.","['cond-mat.quant-gas', 'cond-mat.stat-mech', 'quant-ph']",2025-03-31T07:42:24+00:00,https://arxiv.org/pdf/2503.23807v2,arxiv://2503.23807v2,9,15
2503.21427v3,Measurement-Induced Entanglement Phase Transition in Free Fermion Systems,"['Han-Ze Li', 'Jian-Xin Zhong', 'Xue-Jia Yu']","Measurement-induced entanglement phase transitions (MIET) highlight how local measurements drive quantum systems between area-law and volume-law entangled states. This review surveys MIET in free fermion models, focusing on how unitary hopping competes with measurement-induced non-unitarity. We discuss controversies regarding the existence of MIET in one dimension, the impact of non-Hermitian skin effects, and potential experimental platforms. We conclude with open challenges, including feedback control and higher-dimensional extensions.","['quant-ph', 'cond-mat.dis-nn']",2025-03-27T12:13:33+00:00,https://arxiv.org/pdf/2503.21427v3,arxiv://2503.21427v3,10,15
