id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2605.10758v2,No measurement induced phase transition in the entanglement dynamics of monitored non-interacting one-dimensional fermions in a disordered or quasiperiodic potential,"['Can Yin', 'Fan Bo', 'Antonio M. García-García']","We show that the entanglement entropy (EE) of one-dimensional (1d) non-interacting fermions with $U(1)$ symmetry in the presence of a disordered or quasi-periodic potential in which the occupation number is being monitored by homodyne or projective protocols is always in an area-law phase so no measurement induced phase transition (MIPT) occurs. The reason for the previously claimed MIPT in these systems was a finite size effect related to the fact that the maximum lattice size $L \sim 500$ was of the order of the correlation length. By increasing the system size up to $L \leq 18000$, employing Graphics Processing Unit (GPU), and performing a careful finite size scaling analysis, we find that the critical monitoring strength is consistent with zero so no MIPT occurs. For the disordered case, these numerical results are fully supported by an analytical calculation based on mapping the problem onto a nonlinear sigma model (NLSM) that confirms the absence of the MIPT for any monitoring or disorder strength. The effect of disorder is captured by a change of symmetry, from BDI to AIII, which results in an enhanced correlation length in the weak disorder limit and, by an effective monitoring strength that increase linearly with disorder.","['quant-ph', 'cond-mat.dis-nn']",2026-05-11T15:55:20+00:00,https://arxiv.org/pdf/2605.10758v2,arxiv://2605.10758v2,1,20
2605.05306v1,Measurement-induced phase transitions in disordered fermions,"['Yunxiang Liao', 'Max Matheussen', 'Xinghai Zhang']","Measurement-induced phase transitions are nonequilibrium transitions between phases characterized by distinct entanglement scaling behaviors, driven by the competition between unitary dynamics and measurements. Despite recent numerical efforts, how quenched disorder affects these transitions remains unclear. In this work, we study a $d$-dimensional noninteracting fermionic system subject to both quenched disorder and continuous monitoring of the local particle density, and derive an effective field theory describing its long-time universal behaviors. We find that the system is governed by the same nonlinear sigma model as in the case of clean monitored fermions, with disorder entering only through a modification of model parameters. This result suggests that the presence or absence of a measurement-induced phase transition is unaffected by the introduction of disorder: in spatial dimensions d>1, a transition occurs between an area x log law phase and an area law phase, whereas in d=1, the system exhibits only an area law phase and no transition. Numerical results further demonstrate that both clean and disordered one-dimensional free fermions exhibit area-law behavior when the system size is large enough.","['cond-mat.stat-mech', 'cond-mat.dis-nn', 'quant-ph']",2026-05-06T18:00:03+00:00,https://arxiv.org/pdf/2605.05306v1,arxiv://2605.05306v1,2,20
2604.08650v1,Decoding coherent errors in toric codes on honeycomb and square lattices: duality to Majorana monitored dynamics and symmetry classes,"['Zhou Yang', 'Andreas W. W. Ludwig', 'Chao-Ming Jian']","Topological stabilizer codes, such as the toric and surface codes, are leading candidates for fault-tolerant quantum computation. While their decodability under stochastic noise has been extensively studied, the effects of coherent errors, which involve quantum interference, remain less explored. In this work, we study the decodability of toric codes on honeycomb and square lattices subject to $X$- and $Z$-type coherent errors generated by the $X$- and $Z$-rotations on each qubit. We establish a duality between these decoding problems and 1+1D monitored dynamics of non-interacting Majorana fermions. This duality shows that the Altland-Zirnbauer symmetry class of the dual Majorana dynamics governs the universal structure of the decodability phase diagram. We show that the honeycomb-lattice toric code (hTC) with $X$-type error is dual to class-DIII dynamics, while the hTC with $Z$-type error and the square-lattice toric code (sTC) with both error types are dual to class-D dynamics. The key distinction arises from time-reversal symmetry. In class DIII, the generic transition out of the decodable phase is dual to a measurement-induced transition between dynamical phases with area-law and logarithmic entanglement scaling. In contrast, in class D, the generic decodability transition corresponds to a transition between two topologically distinct area-law phases. To explore these transitions in microscopic models, we consider hTC and sTC with $X$-type errors as representatives and introduce a minimal two-parameter coherent error model with spatially varying rotation angles. Using analytical and numerical methods, we map out the decodability phase diagrams and characterize the universal behavior of the transitions. We find that the decodability of sTC is more vulnerable to spatially varying coherent errors than uniform ones.","['cond-mat.stat-mech', 'cond-mat.dis-nn', 'cond-mat.str-el', 'quant-ph']",2026-04-09T18:00:00+00:00,https://arxiv.org/pdf/2604.08650v1,arxiv://2604.08650v1,3,20
2604.04424v2,D-instanton Effects on the Holographic Weyl Semimetals,"['Hwajin Eom', 'Yunseok Seo']","We investigate the effects of D-instantons on a holographic Weyl semimetal in a top-down approach. We find that the presence of D-instantons induces a novel phase transition from a Weyl semimetal to a gapped phase, providing a new mechanism for gap formation in strongly coupled systems. By analyzing the free energy of probe D7-brane embeddings, we construct the phase diagram in terms of the fermion mass, instanton density, and temperature, measured in units of the Weyl parameter. We show that, in addition to the conventional mass-driven transition associated with band inversion, the instanton density gives rise to a qualitatively different transition whose mechanism cannot be understood within the standard Dirac picture. We compute nonlinear electric conductivities from the regularity condition at the black hole horizon and demonstrate that the two types of transitions exhibit distinct transport behavior. In particular, the instanton-induced transition leads to a gapped phase with properties that differ from the conventional insulating phase. We also discuss possible interpretations of this phase in the boundary theory and comment on its relation to nonperturbative effects in strongly interacting systems.","['hep-th', 'cond-mat.str-el']",2026-04-06T05:08:17+00:00,https://arxiv.org/pdf/2604.04424v2,arxiv://2604.04424v2,4,20
2603.29900v1,Dynamics of entanglement entropy for a locally monitored lattice gauge theory,"['Nisa Ara', 'Arpan Bhattacharyya', 'Nilachal Chakrabarti', 'Neha Nirbhan', 'Indrakshi Raychowdhury']","The $1+1$ dimensional $Z_2$ gauge theory is the simplest model that allows for quantum computation or quantum simulation to probe the fundamental aspects of a gauge theory coupled with dynamical fermions. To reliably benchmark such a system, it is crucial to understand the non-unitary quantum dynamics arising from the underlying non-Hermitian evolution and to model the effects of quantum measurements. This work focuses on monitoring ultra-local physical observables for a $\mathbb Z_2$ gauge theory. Tensor network calculations are performed to dynamically probe entanglement entropy at larger lattice sizes. In this work, we report that continuously monitoring local and diagonal observables (electric and mass energy densities) in the computational basis demonstrates the absence of any measurement-induced phase transition, as indicated by the system-size independence of the late-time saturation value of the bipartite entanglement entropy.",['quant-ph'],2026-03-31T15:46:56+00:00,https://arxiv.org/pdf/2603.29900v1,arxiv://2603.29900v1,5,20
2603.28877v1,Effects of measurements on entanglement dynamics for $1+1$D $\mathbb Z_2$ lattice gauge theory,"['Nilachal Chakrabarti', 'Nisa Ara', 'Neha Nirbhan', 'Arpan Bhattacharyya', 'Indrakshi Raychowdhury']","The $1+1$ dimensional $\mathbb Z_2$ gauge theory is the simplest model that allows for quantum simulation to probe the fundamental aspects of a gauge theory coupled with dynamical fermions. To reliably benchmark such a system, it is crucial to understand the non-unitary quantum dynamics arising from the underlying non-Hermitian evolution and to model the effects of quantum measurements. This work focuses on measuring physical observables for a $\mathbb Z_2$ gauge theory. Tensor network calculations are performed to probe the effect of measurement for larger lattice sizes (up to 256-site systems). Using Matrix Product State calculations, the dynamics of entanglement entropy are studied as a function of the measurement rate and the coupling constant. We find that, under both local and non-local measurements, the late-time saturation value of the bipartite entanglement entropy remains independent of system size, indicating the absence of a measurement-induced phase transition in the no-click limit.","['quant-ph', 'cond-mat.str-el', 'hep-lat', 'hep-th']",2026-03-30T18:01:11+00:00,https://arxiv.org/pdf/2603.28877v1,arxiv://2603.28877v1,6,20
2512.16520v1,Replica Keldysh field theory of quantum-jump processes: General formalism and application to imbalanced and inefficient fermion counting,"['Felix Kloiber-Tollinger', 'Lukas M. Sieberer']","Measurement-induced phase transitions have largely been explored for projective or continuous measurements of Hermitian observables, assuming perfect detection without information loss. Yet such transitions also arise in more general settings, including quantum-jump processes with non-Hermitian jump operators, and under inefficient detection. A theoretical framework for treating these broader scenarios has been missing. Here we develop a comprehensive replica Keldysh field theory for general quantum-jump processes in both bosonic and fermionic systems. Our formalism provides a unified description of pure-state quantum trajectories under efficient detection and mixed-state dynamics emerging from inefficient monitoring, with deterministic Lindbladian evolution appearing as a limiting case. It thus establishes a direct connection between phase transitions in nonequilibrium steady states of driven open quantum matter and in measurement-induced dynamics. As an application, we study imbalanced and inefficient fermion counting in a one-dimensional lattice system: monitored gain and loss of fermions occurring at different rates, with a fraction of gain and loss jumps undetected. For imbalanced but efficient counting, we recover the qualitative picture of the balanced case: entanglement obeys an area law for any nonzero jump rate, with an extended quantum-critical regime emerging between two parametrically separated length scales. Inefficient detection introduces a finite correlation length beyond which entanglement, as quantified by the fermionic logarithmic negativity, obeys an area law, while the subsystem entropy shows volume-law scaling. Numerical simulations support our analytical findings. Our results offer a general and versatile theoretical foundation for studying measurement-induced phenomena across a wide class of monitored and open quantum systems.","['quant-ph', 'cond-mat.stat-mech']",2025-12-18T13:34:00+00:00,https://arxiv.org/pdf/2512.16520v1,arxiv://2512.16520v1,7,20
2512.01772v2,Quantum dynamics of monitored free fermions: Evolution of quantum correlations and scaling at measurement-induced phase transition,"['Igor Poboiko', 'Alexander D. Mirlin']","We explore, both analytically and numerically, the quantum dynamics of a many-body free-fermion system subjected to local density measurements. We begin by extending the mapping to the nonlinear sigma-model (NLSM) field theory for the case of finite evolution time $T$ and different classes of initial states, which lead to different NLSM boundary conditions. The analytical formalism is then used to study how quantum correlations gradually develop, with increasing $T$, from those determined by the initial state towards their steady-state form. The analytical results are confirmed by numerical simulations for several types of initial states. We further consider the long-time limit, when the system in $d+1$ space-time dimensions becomes quasi-one-dimensional, and analyze the scaling of the ``localization'' time (which is simultaneously the purification time and the charge-sharpening time for this class of problems). The analytical predictions for scaling properties are fully confirmed by numerical simulations in a $d=2$ model around the measurement-induced phase transition. We use this dynamical approach to determine numerically the measurement-induced transition point and the associated correlation-length critical exponent.","['cond-mat.dis-nn', 'cond-mat.mes-hall']",2025-12-01T15:13:42+00:00,https://arxiv.org/pdf/2512.01772v2,arxiv://2512.01772v2,8,20
2511.08176v2,Growth-Controlled Twinning and Magnetic Anisotropy in CeSb$_2$,"['Jan T. Weber', 'Kristin Kliemt', ""Sergey L. Bud'ko"", 'Paul C. Canfield', 'Cornelius Krellner']","Cerium diantimonide (CeSb$_2$) is a layered heavy-fermion Kondo lattice material that hosts complex magnetism and pressure-induced superconductivity. The interpretation of its in-plane anisotropy has remained unsettled due to structural twinning, which superimposes orthogonal magnetic responses. Here we combine controlled crystal growth with magnetization and rotational magnetometry to disentangle the effects of twinning. Nearly untwinned high-quality single crystals reveal the intrinsic in-plane anisotropy: The in-plane easy axis saturates at $M_{\text{easy}}(4~\text{T}) \approx 1.8~μ_{\text{B}}$/Ce, while the in-plane hard axis magnetization is strongly suppressed, nearly linear, and comparable to the out-of-plane response. These results resolve long-standing discrepancies in reported magnetic measurements, in which in-plane metamagnetic transition fields and saturation magnetization varied significantly across previous studies. Growth experiments demonstrate that avoiding the proposed $α$-$β$ structural transition $-$ through Sb-rich flux and slower cooling $-$ systematically reduces twinning. However, powder X-ray diffraction and differential thermal analysis measurements show no clear evidence of a distinct $β$ phase. Our results establish a consistent magnetic phase diagram and provide essential constraints for crystal-electric field models, enabling a clearer understanding of the interplay between anisotropic magnetism and unconventional superconductivity in CeSb$_2$.",['cond-mat.str-el'],2025-11-11T12:38:56+00:00,https://arxiv.org/pdf/2511.08176v2,arxiv://2511.08176v2,9,20
2510.23706v1,Free-Fermion Measurement-Induced Volume- to Area-Law Entanglement Transition in the Presence of Fermion Interactions,"['Matthew S. Foster', 'Haoyu Guo', 'Chao-Ming Jian', 'Andreas W. W. Ludwig']","At a generic volume- to area-law entanglement transition in a many-body system, quantum chaos is arrested. We argue that this tends to imply the vanishing of a certain ""mass"" term in the field theory of the measurement-induced phase transition (MIPT) for monitored, interacting fermions. To explore this idea, we consider the MIPT with no conserved quantities that describes 1D monitored, interacting Majorana fermions in class DIII. We conjecture that the MIPT is the noninteracting DIII one in this case; the volume-law phase arises through the dangerously irrelevant mass. We propose numerical tests of our conjecture and analytically identify a candidate noninteracting critical point.","['cond-mat.stat-mech', 'cond-mat.dis-nn', 'cond-mat.str-el', 'quant-ph']",2025-10-27T18:00:02+00:00,https://arxiv.org/pdf/2510.23706v1,arxiv://2510.23706v1,10,20
