title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Bell-type quantum field theories,"D Dürr, S Goldstein, R Tumulka…",2005.0,153,… the naturally associated process is a pure jump process. For … characterizes jump processes versus continuous processes is … way of describing the quantum state of n fermions is by an …,yUeZJbiijPMJ,"D Dürr, S Goldstein, R Tumulka… - Journal of Physics A …, 2005 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/0305-4470/38/4/R01/meta,unknown,unknown
Quantum Hamiltonians and stochastic jumps,"D Dürr, S Goldstein, R Tumulka, N Zangh",2005.0,43,"… define these processes for regularized quantum field theories, … We will discuss further aspects of Bell-type QFTs and their … Bell chooses as the configuration the number of fermions at …",R8ikw6KqBPAJ,"D Dürr, S Goldstein, R Tumulka, N Zangh - … in mathematical physics, 2005 - Springer",[],https://link.springer.com/article/10.1007/s00220-004-1242-0,unknown,unknown
Bohmian mechanics and quantum field theory,"D Dürr, S Goldstein, R Tumulka, N Zanghì",2004.0,270,"… to jump, where to jump, and how to move between the jumps. … In [8], we spelled out in detail a simple example of a Bell-type … Q represents only the configuration of the fermions [7]. We …",8ynWUyt8HGQJ,"D Dürr, S Goldstein, R Tumulka, N Zanghì - Physical Review Letters, 2004 - APS",[],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.93.090402,unknown,unknown
Some jump processes in quantum field theory,"R Tumulka, HO Georgii",2005.0,27,"… process and Bell’s discrete process, we called it a “Belltype QFT.” In [DGTZ03c, DGTZ04], methods are developed for obtaining a canonical Bell-type process for … to the fermion number …",7F2YgsuX0OcJ,"R Tumulka, HO Georgii - Interacting stochastic systems, 2005 - Springer",[],https://link.springer.com/chapter/10.1007/3-540-27110-4_4,unknown,unknown
Contextual bohmian quantum field theories: a hylomorphic approach to QFT,WMR Simpson,2026.0,2,"… an extension of Bell-type Bohmian quantum field theories, … flows punctuated by stochastic jumps. Section 3 introduces our … QFT describes a species of fermion X and a boson field Y (eg …",W8zn5XLWWa0J,"WMR Simpson - Foundations of Physics, 2026 - Springer",[],https://link.springer.com/article/10.1007/s10701-026-00923-z,unknown,unknown
Particles creation and annihilation: Bohmian approaches. A metaphysical inquiry into the Ontology of Quantum Field Theory,A Oldofredi,2016.0,0,… In search for an ontology for QFT: Bell-type Quantum Field Theory … Classical and Quantum particles Instead quantum particles (Fermions) are characterized by these features: carriers of …,ZHAfSOnXxfAJ,A Oldofredi - 2016 - researchgate.net,[],https://www.researchgate.net/profile/Andrea-Oldofredi/publication/327262123_Particles_creation_and_annihilation_Bohmian_approaches_A_metaphysical_inquiry_into_the_Ontology_of_Quantum_Field_Theory/links/5b85076992851c1e1236de98/Particles-creation-and-annihilation-Bohmian-approaches-A-metaphysical-inquiry-into-the-Ontology-of-Quantum-Field-Theory.pdf,unknown,unknown
Particle trajectories for quantum field theory,JC Vink,2018.0,9,… dynamics for the fermionic occupation numbers in a relativistic quantum field theory. In the … shows that the cumulative jump probabilities decrease as 1 / n for increasing jump size n. …,YuNGNmxUsAUJ,"JC Vink - Foundations of Physics, 2018 - Springer",[],https://link.springer.com/article/10.1007/s10701-018-0140-9,unknown,unknown
Stochasticity and Bell-type quantum field theory,A Oldofredi,2020.0,5,"… for this quantum field theory are the fermion … fermion numbers in terms of the jump rate \(\sigma _t(q, q')\), which represents the probability for a given configuration of fermions q to jump …",gYugGkGDaKUJ,"A Oldofredi - Synthese, 2020 - Springer",[],https://link.springer.com/article/10.1007/s11229-018-1720-0,unknown,unknown
in Quantum Field Theory,"R Tumulka¹, HO Georgii",2005.0,0,"… This contribution deals with Markov jump processes Qt … process and Bell's discrete process, we called it a “Belltype QFT.… configuration corresponds to the fermion number operators. We …",2rwIfFE7zGYJ,"R Tumulka¹, HO Georgii - Interacting Stochastic Systems, 2005 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=L8QEXBeFFMgC&oi=fnd&pg=PA55&dq=Bell-type+quantum+field+theory+jump+process+fermion&ots=8s_Y5X0175&sig=FE2l7rkerOJXikdWVrwXeDBPImg,unknown,unknown
Objective interpretations of quantum mechanics and the possibility of a deterministic limit,A Sudbery,1987.0,35,… to emerge from a quantum field theory capable of describing … model as a limit of a Bell-type model for a single particle in … the fact that there are more fermions in some (macroscopically …,9JhemPg7DQQJ,"A Sudbery - Journal of Physics A: Mathematical and General, 1987 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/0305-4470/20/7/020/meta,unknown,unknown
