title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Entanglement entropy, black holes and holography","RV Buniy, SDH Hsu",2007,30,… the entanglement entropy resulting from tracing over a subregion of an initially pure state can grow faster than the surface area of … to exclude faster than area law entropy scaling. This …,8lIkm2lHwT8J,"RV Buniy, SDH Hsu - Physics Letters B, 2007 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0370269306013773,unknown,unknown
An operational perspective on holographic entanglement,M Rota,2016,0,"… of local hidden variables, an important example being Bohm formulation. It was only in 1964 … By now we have a good idea about the entanglement entropy associated with the reduced …",1PI3abpge9IJ,M Rota - 2016 - etheses.dur.ac.uk,[],http://etheses.dur.ac.uk/11549/,unknown,unknown
"Generalized information and entanglement entropy, gravitation and holography",O Obregón,2015,25,"… entropic force formulation a generalized Newton’s law is obtained, and following the proposal that the Einstein equations can be deduced from the Clausius law, … entanglement entropy …",4_Qc5mliA9YJ,"O Obregón - International Journal of Modern Physics A, 2015 - World Scientific",[],https://www.worldscientific.com/doi/abs/10.1142/S0217751X15300392,unknown,unknown
Thermodynamic Holographic Entanglement Theory (T-HET V3),ECS Junior,2025,0,"… Theory (T-HET) is constructed upon six foundational postulates that redefine the nature of spacetime, matter, and interaction in terms of entanglement entropy and topological logic. …",NC9sMzeZMyoJ,ECS Junior - 2025 - researchgate.net,[],https://www.researchgate.net/profile/Edivaldo-Junior/publication/392327471_Thermodynamic_Holographic_Entanglement_Theory_T-HET_V3_A_Unified_Theory_of_Spacetime_Matter_and_Entropic_Genesis/links/683dd1b2df0e3f544f5c7344/Thermodynamic-Holographic-Entanglement-Theory-T-HET-V3-A-Unified-Theory-of-Spacetime-Matter-and-Entropic-Genesis.pdf,unknown,unknown
Probing the Holographic Universe: Aspects of Entanglement Entropy Modifications,F Diaz,2024,0,"… the previously flat entanglement spectrum and resulting in an area law for entanglement entropy, … Next, we extend the holographic entanglement entropy framework to field theories with …",HJPrz6HI-5YJ,"F Diaz - arXiv preprint arXiv:2409.04657, 2024 - arxiv.org",[],https://arxiv.org/abs/2409.04657,unknown,unknown
Lectures on entanglement entropy in field theory and holography,M Headrick,1907,113,"… holographic ones. We explore basic properties and simple examples of entanglement entropies, … In the holographic case, the focus is on how the Ryu-Takayanagi formula geometrically …",TyrDeKUhfrIJ,"M Headrick - arXiv preprint arXiv:1907.08126, 2019 - arxiv.org",[],https://arxiv.org/abs/1907.08126,unknown,unknown
Topological entanglement entropy and holography,"A Pakman, A Parnachev",2008,104,… study the entanglement entropy in confining theories with gravity duals using the holographic … we review the definitions of entanglement and topological entanglement entropies and the …,Axiom8G8G-sJ,"A Pakman, A Parnachev - Journal of High Energy Physics, 2008 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1126-6708/2008/07/097/meta,unknown,unknown
Holographic entanglement renormalisation for fermionic quantum matter: geometrical and topological aspects,"A Mukherjee, S Patra, S Lal",2023,0,"… In the presence of an Aharonov-Bohm flux, the entanglement gains a geometry-independent piece … Further, the modified area law behaviour of the entanglement entropy shows that the …",iTdwVKoRFtcJ,"A Mukherjee, S Patra, S Lal - arXiv preprint arXiv:2302.10590, 2023 - researchgate.net",[],https://www.researchgate.net/profile/Siddhartha-Lal-2/publication/368687781_Holographic_entanglement_renormalisation_for_fermionic_quantum_matter_geometrical_and_topological_aspects/links/63f72b50b1704f343f759bd6/Holographic-entanglement-renormalisation-for-fermionic-quantum-matter-geometrical-and-topological-aspects.pdf,unknown,unknown
Probing the Holographic Universe: Aspects of Entanglement Entropy Modifications,FID Martínez,2024,0,"… of an area law for the entanglement entropy. Remarkably, this … the holographic entanglement entropy of field theories featuring a global U (1) symmetry. We first extend the holographic …",nb_5LD6CV6MJ,FID Martínez - 2024 - repositorio.unab.cl,[],https://repositorio.unab.cl/server/api/core/bitstreams/d89e4230-1eef-4cdc-a440-d1e1b472de26/content,unknown,unknown
Entanglement entropy: holography and renormalization group,T Nishioka,2018,393,… states and gravitation through the holographic principle. This article provides a review of entanglement entropy from a mixed viewpoint of field theory and holography. A set of basic …,C9eCEm2gPOUJ,"T Nishioka - Reviews of Modern Physics, 2018 - APS",[],https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.90.035007,unknown,unknown
