title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Bohmian mechanics, open quantum systems and continuous measurements","AB Nassar, S Miret-Artés",2017,70,"… complete theory of continuous quantum measurement, within the Bohmian mechanics, are … than 30 years working on trajectory-based formalisms; in particular, on Bohmian mechanics. …",yai2I5v-2GoJ,"AB Nassar, S Miret-Artés - 2017 - Springer",[],https://link.springer.com/content/pdf/10.1007/978-3-319-53653-8.pdf,unknown,unknown
Dividing Line between Quantum and Classical Trajectories in a Measurement Problem:<? format?> Bohmian Time Constant,"AB Nassar, S Miret-Artés",2013,48,… of a quantum dissipative system under continuous measurement. Within the Bohmian … represent the dividing line between the quantum and classical trajectories. It is shown that …,TWKv-bc_CboJ,"AB Nassar, S Miret-Artés - Physical Review Letters, 2013 - APS",[],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.111.150401,unknown,unknown
Quantum trajectories and the Bohm time constant,AB Nassar,2013,20,"… Accordingly, we propose that the evolution of the wave function of the quantum system ψ ( x , t ) under continuous measurement can be described in terms of the logarithmic nonlinear …",Oi17Y9-GpA0J,"AB Nassar - Annals of Physics, 2013 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0003491613000134,unknown,unknown
Continuous Quantum Measurements in the Bohmian Framework,"AB Nassar, S Miret-Artés",2017,0,"… more localized at asymptotic times (the stationary wave packet is then an attractor of the corresponding width dynamics); in terms of trajectories, this analysis indicates that the Bohmian …",d_VHmeY5L7oJ,"AB Nassar, S Miret-Artés - … Systems and Continuous Measurements, 2017 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-319-53653-8_4,unknown,unknown
Relativistic Bohmian trajectories of photons via weak measurements,"J Foo, E Asmodelle, AP Lund, TC Ralph",2022,43,"… In the meantime, to ensure continued … the Bohmian trajectories for the particles in the head-on collision scenario for different weightings of the superposition parameter α. The trajectories …",cqDr7UDDssEJ,"J Foo, E Asmodelle, AP Lund, TC Ralph - Nature communications, 2022 - nature.com",[],https://www.nature.com/articles/s41467-022-31608-6,unknown,unknown
Experimental nonlocal steering of Bohmian trajectories,"Y Xiao, Y Kedem, JS Xu, CF Li, GC Guo",2017,39,… trajectory of a Bohmian particle using a remote measurement… where its trajectory is measured using the technique of Weak … a measurement apparatus is evolving continuously along the …,q1F3MbVn6QcJ,"Y Xiao, Y Kedem, JS Xu, CF Li, GC Guo - Optics Express, 2017 - opg.optica.org",[],https://opg.optica.org/abstract.cfm?uri=oe-25-13-14463,unknown,unknown
Bohmian particle trajectories in relativistic bosonic quantum field theory,H Nikolić,2004,76,"… After that, we study particle trajectories in bosonic quantum ﬁeld theory. A new continuously … In the Appendix, we present a short review of the general theory of quantum measurements …",3iiRTHmpo2MJ,"H Nikolić - Foundations of physics letters, 2004 - Springer",[],https://link.springer.com/article/10.1023/B:FOPL.0000035670.31755.0a,unknown,unknown
Bohmian Trajectories Within Hilbert Space Based Quantum Mechanics. Solution of the Measurement Problem,T Dass,2026,0,"… The idea of obtaining Bohmian trajectories as sample paths of a stochastic process along … At that time, however, the author believed that Bohmian like trajectories should be continuous …",aLgVA6cVppkJ,"T Dass - International Journal of Theoretical Physics, 2026 - Springer",[],https://link.springer.com/article/10.1007/s10773-026-06307-3,unknown,unknown
A Trajectory Description of Quantum Processes. I. Fundamentals: A Bohmian Perspective,"ÁS Sanz, S Miret-Artés",2012,174,"… In classically forbidden regions, trajectories are analytically continued … measurement process is also very briefly discussed through the introduction of the so-called weak measurement …",D86450_RSqkJ,"ÁS Sanz, S Miret-Artés - 2012 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=zR24BAAAQBAJ&oi=fnd&pg=PR4&dq=Bohmian+quantum+trajectories+continuous+measurement&ots=1seJCGK_XC&sig=-9EJ6Ew1vtHEvBMmar4nMnwyuts,unknown,unknown
A Trajectory Description of Quantum Processes. II. Applications: A Bohmian Perspective,"ÁS Sanz, S Miret-Artés",2013,24,"… non-crossing rule (which have been inferred from measurements in photon interference … see that, actually, each Bohmian trajectory has an associated continuous set of complex …",ZPDCId3CTGcJ,"ÁS Sanz, S Miret-Artés - 2013 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=Lya7BQAAQBAJ&oi=fnd&pg=PR4&dq=Bohmian+quantum+trajectories+continuous+measurement&ots=EGODyTC0G2&sig=laqpgVAAsZ7mFlCut2crQhJ93IA,unknown,unknown
