title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Entanglement dynamics in monitored Kitaev circuits: Loop models, symmetry classification, and quantum Lifshitz scaling","K Klocke, D Simm, GY Zhu, S Trebst, M Buchhold",2025.0,21,"… the fermion entanglement, we reveal that precisely at the transition, the Majorana fermions … identify the location of the critical line of the phase transition. It is located at Pmic = Pmic,c for …",GrtlrjIWpwUJ,"K Klocke, D Simm, GY Zhu, S Trebst, M Buchhold - Physical Review B, 2025 - APS",[],https://journals.aps.org/prb/abstract/10.1103/PhysRevB.111.224301,unknown,unknown
Monitored quantum dynamics and the Kitaev spin liquid,"A Lavasani, ZX Luo, S Vijay",2023.0,64,"… phase transitions between the critical and topologically ordered phases in this monitored … evolution of the Majorana partons, we note an important difference in the probability distribution …",4n7MsRr-Va8J,"A Lavasani, ZX Luo, S Vijay - Physical Review B, 2023 - APS",[],https://journals.aps.org/prb/abstract/10.1103/PhysRevB.108.115135,unknown,unknown
Measurement-induced phase transition in the monitored Sachdev-Ye-Kitaev model,"SK Jian, C Liu, X Chen, B Swingle, P Zhang",2021.0,157,… monitoring rate in the nonunitary SYK dynamics causes a measurementinduced phase transition … Then the effect of monitoring every Majorana species i at every site x is described by …,sG3GUSYNpf8J,"SK Jian, C Liu, X Chen, B Swingle, P Zhang - Physical review letters, 2021 - APS",[],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.127.140601,unknown,unknown
"Structured volume-law entanglement in an interacting, monitored Majorana spin liquid","GY Zhu, N Tantivasadakarn, S Trebst",2024.0,27,"… microstep we measure a single, randomly chosen Kitaev- … phase transition from the interacting Majorana liquid to the … the area- to volume-law transition out of the color code as an error …",Ptb5H4Hv8bkJ,"GY Zhu, N Tantivasadakarn, S Trebst - Physical Review Research, 2024 - APS",[],https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.L042063,unknown,unknown
Topology and spectrum in measurement-induced phase transitions,"H Oshima, K Mochizuki, R Hamazaki, Y Fuji",2025.0,8,… We illustrate this framework by analyzing (1 + 1)dimensional monitored circuits for Majorana … is reminiscent of the appearance of Majorana zero modes for the static Kitaev chain [72]. We …,jKaum9tFG1AJ,"H Oshima, K Mochizuki, R Hamazaki, Y Fuji - Physical Review Letters, 2025 - APS",[],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.134.240401,unknown,unknown
Error stabilized logical qubits in qudit generalizations of the monitored Kitaev model,"A Vijayvargia, E Day-Roberts, O Erten",2025.0,1,"… determine the transition point by using finite-size scaling. … well-defined Landau-type phase transition, we observe a data … -qubit measurements that induce interactions among Majorana …",BnE16A2avAwJ,"A Vijayvargia, E Day-Roberts, O Erten - arXiv preprint arXiv:2509.16758, 2025 - arxiv.org",[],https://arxiv.org/abs/2509.16758,unknown,unknown
Topological measurement-induced phase transition in the kitaev chain,I Ohnishi,,1,"… measurement-induced phase transitions (MIPT) in the Kitaev chain, a one-dimensional topological superconductor hosting Majorana … protocol inspired by monitored random circuits [7…",YHm_2-Sl0MMJ,"I Ohnishi - Available at SSRN 6071289, 2026 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6071289,unknown,unknown
Controlling measurement-induced phase transitions with tunable detector coupling,"R Nehra, A Romito, D Meidan",2025.0,10,… of the transition between projective and continuous monitoring. … staggered pairwise parity checks on the Majorana fermions: … : the probability of a Kitaev measurement pK for a fixed sum …,3MRVUkxN0BMJ,"R Nehra, A Romito, D Meidan - Quantum, 2025 - quantum-journal.org",[],https://quantum-journal.org/papers/q-2025-04-08-1697/,unknown,unknown
Qubit fractionalization and emergent Majorana liquid in the honeycomb Floquet code induced by coherent errors and weak measurements,"GY Zhu, S Trebst",2023.0,10,… to the fractionalization physics of the Kitaev model at finite … We expect a Majorana entanglement phase transition (not … bond measurement ensembles at weak monitored regime t …,JUzElGxXGkIJ,"GY Zhu, S Trebst - arXiv preprint arXiv:2311.08450, 2023 - arxiv.org",[],https://arxiv.org/abs/2311.08450,unknown,unknown
Topological transitions in weakly monitored free fermions,"G Kells, D Meidan, A Romito",2023.0,111,… blue boxes) and the occupation of the “Kitaev modes” Mj (lower red boxes). … measurement protocol is based on a Majorana-island setup. While the local density Mj can be monitored via …,sGK9Y0qbkYMJ,"G Kells, D Meidan, A Romito - SciPost Physics, 2023 - scipost.org",[],https://www.scipost.org/SciPostPhys.14.3.031?acad_field_slug=politicalscience,unknown,unknown
"Topology, criticality, and dynamically generated qubits in a stochastic measurement-only Kitaev model","A Sriram, T Rakovszky, V Khemani, M Ippoliti",2023.0,62,… the study of measurement-induced phase transitions in one … be thought of as two-Majorana operators) that are localized in … The monitored circuits studied in this work reflect this structure…,ZIz55teGwWAJ,"A Sriram, T Rakovszky, V Khemani, M Ippoliti - Physical Review B, 2023 - APS",[],https://journals.aps.org/prb/abstract/10.1103/PhysRevB.108.094304,unknown,unknown
Measurement-induced phase transition in teleportation and wormholes,"A Milekhin, FK Popov",2024.0,31,… transformation to map them to 2N Majorana fermions ψi … Now the motion is controlled by the effective Hamiltonian or … First we study Kitaev–Yoshida protocol with a single projection. After …,42ud0u4QHl0J,"A Milekhin, FK Popov - SciPost Physics, 2024 - scipost.org",[],https://www.scipost.org/SciPostPhys.17.1.020,unknown,unknown
Majorana qubits and non-Abelian physics in quantum dot–based minimal Kitaev chains,"A Tsintzis, RS Souto, K Flensberg, J Danon, M Leijnse",2024.0,111,… Another method to access the Majorana quality of a PMM system could be to monitor the quantum capacitance of the lowest even and odd state with respect to one of the gate voltages …,f5oBJtKbXUkJ,"A Tsintzis, RS Souto, K Flensberg, J Danon, M Leijnse - PRX quantum, 2024 - APS",[],https://link.aps.org/doi/10.1103/PRXQuantum.5.010323,unknown,unknown
Measurement-induced phase transition in periodically driven free-fermionic systems,"P Chatterjee, R Modak",2025.0,12,"… There are recent theoretical studies of a monitored chain of a system of size L of Majorana fermions, which shows (ln L)2 behavior in the critical phase [62], in contracts for …",5WQ4SUCrxmgJ,"P Chatterjee, R Modak - Physical Review B, 2025 - APS",[],https://link.aps.org/doi/10.1103/8l26-c7cv,unknown,unknown
Entanglement phase transitions in non-hermitian kitaev chains,L Zhou,2024.0,11,"… entanglement transitions may be engineered and controlled by … of Majorana edge modes at E = 0 is observed in the topological phase, while an imaginary energy gap with no Majorana …",EEtr6DQo36MJ,"L Zhou - Entropy, 2024 - mdpi.com",[],https://www.mdpi.com/1099-4300/26/3/272,unknown,unknown
