title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Measurement-induced phase transitions in the dynamics of entanglement,"B Skinner, J Ruhman, A Nahum",2019,1215,"… a product state with area-law entanglement, or can volume-law entanglement survive? Here, … can occur, leading to volume-law or area-law entanglement, depending on the value of the …",J2o1UerFIf8J,"B Skinner, J Ruhman, A Nahum - Physical Review X, 2019 - APS",[],https://journals.aps.org/prx/abstract/10.1103/PhysRevX.9.031009,unknown,unknown
Measurement-induced entanglement phase transition on a superconducting quantum processor with mid-circuit readout,"JM Koh, SN Sun, M Motta, AJ Minnich",2023,264,… a volume- to area-law entanglement phase transition on a … to realize measurement-induced entanglement transitions is … The experiment circuits comprised interleaved unitary entangling …,rEu9HAY4lIUJ,"JM Koh, SN Sun, M Motta, AJ Minnich - Nature Physics, 2023 - nature.com",[],https://www.nature.com/articles/s41567-023-02076-6,unknown,unknown
Measurement-induced phase transition: A case study in the nonintegrable model by density-matrix renormalization group calculations,"Q Tang, W Zhu",2020,228,… a volume-to-area law entanglement phase transition. When the … observe a logarithmic growth of entanglement entropy as the … entanglement entropy distinguishes the volume and area …,-iK-PVW2hxUJ,"Q Tang, W Zhu - Physical Review Research, 2020 - APS",[],https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.2.013022,unknown,unknown
Quantum error correction in scrambling dynamics and measurement-induced phase transition,"S Choi, Y Bao, XL Qi, E Altman",2020,571,"… area-law phase for nonzero measurement rates. In this Letter, we show that a central ingredient for understanding the entanglement phase transition is … the volume-law entangled phase …",p7wM_PxRSPcJ,"S Choi, Y Bao, XL Qi, E Altman - Physical Review Letters, 2020 - APS",[],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.125.030505,unknown,unknown
Measurement-induced topological entanglement transitions in symmetric random quantum circuits,"A Lavasani, Y Alavirad, M Barkeshli",2021,338,"… order parameter to detect the phase transition from SPT to volume law entangled phase, while we use S topo for the phase transition from the volume law entangled phase to the trivial …",OaDmKeF8ZAcJ,"A Lavasani, Y Alavirad, M Barkeshli - Nature Physics, 2021 - nature.com",[],https://www.nature.com/articles/s41567-020-01112-z,unknown,unknown
Measurement-induced entanglement phase transition in free fermion systems,"HZ Li, JX Zhong, XJ Yu",2025,21,… Measurement-induced entanglement phase transitions (… systems between area-law and volume-law entangled states. … hopping competes with measurement-induced non-unitarity. We …,LznlJn4wDNYJ,"HZ Li, JX Zhong, XJ Yu - Journal of Physics: Condensed Matter, 2025 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1361-648X/ade7e5/meta,unknown,unknown
Entanglement phase transitions in measurement-only dynamics,"M Ippoliti, MJ Gullans, S Gopalakrishnan, DA Huse…",2021,382,"… 1 bits, which cannot change the entanglement phase (area law to volume law or vice versa). … While this type of quantum dynamics, known as measurement-induced dynamics, has been …",EkwQyF1iyDkJ,"M Ippoliti, MJ Gullans, S Gopalakrishnan, DA Huse… - Physical Review X, 2021 - APS",[],https://journals.aps.org/prx/abstract/10.1103/PhysRevX.11.011030,unknown,unknown
Measurement-induced entanglement transitions in many-body localized systems,"O Lunt, A Pal",2020,144,"… Measurement-induced dynamics has led to the unravelling of a new class of entanglement phase transitions … studying the transition point between the volume- and area-law phases, we …",1lXwFryyltYJ,"O Lunt, A Pal - Physical Review Research, 2020 - APS",[],https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.2.043072,unknown,unknown
Experimental realization of a measurement-induced entanglement phase transition on a superconducting quantum processor,"JM Koh, SN Sun, M Motta, AJ Minnich",2022,56,"… ization of a measurement-induced entanglement transition on … of entanglement entropy in the volume- and area-law phases, … of distinct volume- and area-law entanglement phases, we …",VfLjgpGvUFIJ,"JM Koh, SN Sun, M Motta, AJ Minnich - arXiv preprint arXiv:2203.04338, 2022 - arxiv.org",[],https://arxiv.org/abs/2203.04338,unknown,unknown
Measurement-induced transitions of the entanglement scaling law in ultracold gases with controllable dissipation,"S Goto, I Danshita",2020,103,"… a change in the scaling law of the entanglement entropy from a volume law to an area law. In order to propose a way to experimentally observe this measurement-induced transition, we …",7JoyfUU2QAQJ,"S Goto, I Danshita - Physical Review A, 2020 - APS",[],https://journals.aps.org/pra/abstract/10.1103/PhysRevA.102.033316,unknown,unknown
